Date,Close,Cash,Qty,AvgPrice,TotalVal,Buys,Sells,Regime
2022-09-01,13.2,5022.05,218,13.59,7899.65,112,0,StrongDown
2022-09-02,12.8,8020.75,0,0.0,8020.75,0,218,Stable
2022-09-06,12.43,4942.61,246,12.48,8000.39,246,0,Stable
2022-09-07,13.01,8012.38,0,0.0,8012.38,0,246,Stable
2022-09-08,13.62,6537.74,108,13.62,8008.7,108,0,StrongUp
2022-09-09,14.66,8082.59,0,0.0,8082.59,0,108,StrongUp
2022-09-12,14.79,7411.75,46,14.55,8092.09,46,0,Stable
2022-09-13,12.04,5915.06,170,12.72,7961.86,124,0,StrongDown
2022-09-14,12.46,7257.28,60,12.46,8004.88,60,170,StrongUp
2022-09-15,11.9,6530.01,124,11.9,8005.61,124,60,StrongDown
2022-09-16,12.06,4766.34,278,11.65,8120.41,278,124,Stable
2022-09-19,12.25,7268.66,66,11.95,8077.16,66,278,Stable
2022-09-20,11.68,4470.38,304,11.78,8019.58,238,0,Stable
2022-09-21,11.39,8066.95,0,0.0,8066.95,0,304,StrongUp
2022-09-22,10.43,6582.18,142,10.43,8063.24,142,0,StrongDown
2022-09-23,9.95,991.72,720,9.8,8155.72,578,0,Stable
2022-09-26,9.54,6631.22,154,9.67,8101.15,154,720,Stable
2022-09-27,9.82,8184.26,0,0.0,8184.26,0,154,StrongDown
2022-09-28,10.23,8184.26,0,0.0,8184.26,0,0,Stable
2022-09-29,9.23,6684.45,162,9.23,8180.52,162,0,StrongDown
2022-09-30,8.79,6696.52,170,8.79,8190.82,170,162,StrongUp
2022-10-03,9.72,8258.31,0,0.0,8258.31,0,170,StrongUp
2022-10-04,11.06,8258.31,0,0.0,8258.31,0,0,StrongUp
2022-10-05,11.31,7628.86,58,10.83,8285.13,58,0,Stable
2022-10-06,11.15,7666.94,55,11.21,8280.19,55,58,Stable
2022-10-07,9.16,6179.31,217,9.68,8167.03,162,0,StrongDown
2022-10-10,8.21,4680.44,399,9.01,7958.23,182,0,StrongDown
2022-10-11,7.52,11.11,1008,8.19,7591.27,609,0,Stable
2022-10-12,7.31,5727.7,259,8.14,7620.99,204,953,StrongDown
2022-10-13,7.96,6156.5,186,7.96,7637.06,186,259,StrongUp
2022-10-14,6.91,6181.59,216,6.91,7674.15,216,186,StrongDown
2022-10-17,7.36,7821.25,0,0.0,7821.25,0,216,StrongDown
2022-10-18,7.42,6333.54,200,7.42,7817.54,200,0,StrongDown
2022-10-19,7.6,7488.56,46,7.4,7838.16,46,200,Stable
2022-10-20,7.72,7842.34,0,0.0,7842.34,0,46,StrongUp
2022-10-21,8.6,7842.34,0,0.0,7842.34,0,0,Stable
2022-10-24,8.69,6096.18,204,8.54,7868.94,204,0,Stable
2022-10-25,9.27,7898.09,0,0.0,7898.09,0,204,StrongUp
2022-10-26,8.98,6403.68,166,8.98,7894.36,166,0,StrongUp
2022-10-27,8.52,4456.31,400,8.71,7864.31,400,166,Stable
2022-10-28,9.52,7889.71,0,0.0,7889.71,0,400,StrongUp
2022-10-31,8.89,6392.46,168,8.89,7885.98,168,0,StrongDown
2022-11-01,9.12,7979.44,0,0.0,7979.44,0,168,StrongDown
2022-11-02,8.23,7979.44,0,0.0,7979.44,0,0,Stable
2022-11-03,7.91,6488.64,188,7.91,7975.72,188,0,StrongUp
2022-11-04,9.01,8140.78,0,0.0,8140.78,0,188,Stable
2022-11-07,9.6,8041.66,11,8.99,8147.26,11,0,Stable
2022-11-08,10.17,8152.7,0,0.0,8152.7,0,11,Stable
2022-11-09,9.22,4203.88,418,9.42,8059.93,418,0,Stable
2022-11-10,12.1,8732.01,0,0.0,8732.01,0,418,StrongUp
2022-11-11,13.2,7990.96,56,13.2,8730.16,56,0,StrongUp
2022-11-14,12.75,7251.76,116,12.75,8730.76,116,56,StrongUp
2022-11-15,13.89,8906.41,0,0.0,8906.41,0,116,Stable
2022-11-16,12.07,3759.04,418,12.28,8804.3,418,0,Stable
2022-11-17,12.39,7340.78,120,12.39,8827.58,120,418,StrongUp
2022-11-18,12.49,7964.72,74,12.31,8888.98,74,120,Stable
2022-11-21,11.88,4268.83,384,11.97,8830.75,310,0,Stable
2022-11-22,12.93,8922.77,0,0.0,8922.77,0,384,Stable
2022-11-23,13.32,8922.77,0,0.0,8922.77,0,0,Stable
2022-11-25,12.8,7302.05,124,13.04,8889.25,124,0,Stable
2022-11-28,11.84,1766.59,580,12.31,8633.79,456,0,Stable
2022-11-29,11.75,8666.82,0,0.0,8666.82,0,580,StrongUp
2022-11-30,13.83,7918.13,54,13.83,8664.95,54,0,StrongDown
2022-12-01,13.5,7181.37,110,13.5,8666.37,110,54,StrongDown
2022-12-02,13.01,2983.23,440,12.89,8705.43,330,0,Stable
2022-12-05,12.6,7190.74,118,12.6,8677.54,118,440,StrongDown
2022-12-06,11.74,456.0,686,11.96,8509.64,568,0,Stable
2022-12-07,11.73,4414.82,354,11.67,8567.24,354,686,Stable
2022-12-08,12.65,8629.24,0,0.0,8629.24,0,354,StrongUp
2022-12-09,12.3,7149.55,120,12.3,8625.55,120,0,StrongUp
2022-12-12,13.0,7256.86,112,12.25,8712.86,112,120,Stable
2022-12-13,13.67,8915.35,0,0.0,8915.35,0,112,StrongDown
2022-12-14,12.98,8173.64,57,12.98,8913.5,57,0,StrongUp
2022-12-15,11.37,6692.5,187,11.86,8817.75,130,0,StrongDown
2022-12-16,11.09,2750.3,551,11.17,8860.89,494,130,Stable
2022-12-19,10.68,1251.37,691,11.07,8631.25,140,0,StrongDown
2022-12-20,10.42,509.7,762,11.01,8449.74,71,0,StrongUp
2022-12-21,11.18,8630.28,0,0.0,8630.28,0,762,Stable
2022-12-22,9.78,7140.76,152,9.78,8626.56,152,0,StrongDown
2022-12-23,9.78,2247.81,658,9.68,8679.76,506,0,Stable
2022-12-27,9.23,748.81,820,9.59,8317.41,162,0,StrongDown
2022-12-28,8.86,7640.85,84,8.86,8385.09,84,820,StrongUp
2022-12-29,9.72,8417.58,0,0.0,8417.58,0,84,Stable
2022-12-30,9.69,3274.87,544,9.43,8546.23,544,0,Stable
